Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
120972;Hamminkeln, KG Ludgerischule Dingden;BR DÅsseldorf;Kreis Wesel;Hamminkeln;2
120984;Rhede, KG Ludgerus;BR MÅnster;Kreis Borken;Rhede;3
120996;Rhede, KG Overbergschule;BR MÅnster;Kreis Borken;Rhede;2
121009;Raesfeld, KG St.-Sebastian;BR MÅnster;Kreis Borken;Raesfeld;2
121010;Reken, GG Antoniusschule;BR MÅnster;Kreis Borken;Reken;2
121022;Reken, GG Michaelschule;BR MÅnster;Kreis Borken;Reken;3
121034;Reken, KG Ellering-Schule;BR MÅnster;Kreis Borken;Reken;1
121046;Heiden, KG Marienschule;BR MÅnster;Kreis Borken;Heiden;2
121095;Bocholt, KG St.-Bernhard-Schule;BR MÅnster;Kreis Borken;Bocholt;2
121113;Bocholt, KG (Verb.) Liebfrauen;BR MÅnster;Kreis Borken;Bocholt;1
121149;Velen, KG Walburgisschule;BR MÅnster;Kreis Borken;Velen;2
121150;Velen, KG Andreas-Schule;BR MÅnster;Kreis Borken;Velen;2
121162;Coesfeld, KG Maria-Frieden-Schule;BR MÅnster;Kreis Coesfeld;Coesfeld;2
121174;Coesfeld, KG Ludgerischule;BR MÅnster;Kreis Coesfeld;Coesfeld;2
121186;Coesfeld, KG Laurentiusschule;BR MÅnster;Kreis Coesfeld;Coesfeld;2
121198;Coesfeld, KG Lamberti;BR MÅnster;Kreis Coesfeld;Coesfeld;2
121216;Coesfeld, EG Martin-Luther-Schule;BR MÅnster;Kreis Coesfeld;Coesfeld;2
121241;DÅlmen, EG (Verb.) P.-Gerhardt/K.-v.-Gal;BR MÅnster;Kreis Coesfeld;DÅlmen;4
121253;DÅlmen, KG Augustinusschule;BR MÅnster;Kreis Coesfeld;DÅlmen;3
121265;DÅlmen, KG (Verb)Anna-Katharina-Emmerick;BR MÅnster;Kreis Coesfeld;DÅlmen;2
121289;Billerbeck, KG Ludgerischule;BR MÅnster;Kreis Coesfeld;Billerbeck;2
121290;DÅlmen, KG Ludgerusschule;BR MÅnster;Kreis Coesfeld;DÅlmen;2
121307;DÅlmen, KG St. Georg;BR MÅnster;Kreis Coesfeld;DÅlmen;1
121320;Gescher, GG Von-Galen-Schule;BR MÅnster;Kreis Borken;Gescher;3
121332;Gescher, GG (Verb.) Hand in Hand;BR MÅnster;Kreis Borken;Gescher;2
121368;DÅlmen, KG St. Mauritius;BR MÅnster;Kreis Coesfeld;DÅlmen;2
121393;Rosendahl, KG Nikolausschule;BR MÅnster;Kreis Coesfeld;Rosendahl;1
121400;Rosendahl, KG Antoniusschule;BR MÅnster;Kreis Coesfeld;Rosendahl;2
121411;Rosendahl, KG Sebastianschule;BR MÅnster;Kreis Coesfeld;Rosendahl;2
121423;Nottuln, KG Sebastianschule;BR MÅnster;Kreis Coesfeld;Nottuln;1
121435;Coesfeld, KG Kardinal-von-Galen-Schule;BR MÅnster;Kreis Coesfeld;Coesfeld;2
