sep=;
Schulnummer;Anzahl;
"102647";"218";
"102659";"218";
"102660";"216";
"102672";"242";
"102696";"215";
"102702";"283";
"102714";"193";
"102726";"197";
"102738";"236";
"102740";"223";
"102751";"536";
"102763";"383";
"102775";"218";
"102787";"215";
"102799";"237";
"102805";"396";
"102829";"262";
"102830";"211";
"102842";"227";
"102866";"336";
"102878";"328";
"102880";"183";
"102891";"216";
"102908";"354";
"102921";"231";
"102945";"357";
"102957";"228";
"102970";"187";
"102982";"300";
"102994";"280";
"103020";"337";
"103068";"289";
"103070";"315";
"103081";"303";
"103100";"200";
"103111";"315";
"103123";"206";
"103135";"314";
"103147";"213";
"103159";"370";
"103160";"253";
"103172";"408";
"103184";"255";
"103196";"336";
"103202";"197";
"103214";"252";
"103226";"410";
"103240";"189";
"103251";"302";
"103263";"217";
"103287";"139";
"103299";"278";
"103305";"358";
"103317";"213";
"103330";"281";
"103342";"304";
"103354";"177";
"103366";"312";
"103378";"222";
"103380";"216";
"103410";"293";
"103421";"347";
"103433";"218";
"103445";"304";
"103500";"221";
"103512";"217";
"103524";"465";
"103536";"508";
"103561";"220";
"103573";"211";
"103627";"331";
"103639";"246";
"103652";"218";
"103676";"313";
"103690";"413";
"103720";"323";
"103731";"241";
"103755";"452";
"103780";"300";
"103809";"371";
"103822";"318";
"103834";"389";
"103846";"263";
"103858";"269";
"103860";"304";
"103913";"305";
"103925";"342";
"103949";"271";
"103950";"333";
"103962";"217";
"103974";"361";
"103998";"385";
"104000";"196";
"104012";"328";
"104036";"342";
"104048";"307";
"104073";"240";
"104085";"424";
"104103";"220";
"104115";"211";
"104127";"203";
"104139";"294";
"104140";"311";
"104164";"263";
"104188";"408";
"104190";"219";
"104206";"208";
"104220";"243";
"104231";"220";
"104243";"384";
"104279";"345";
"104280";"245";
"104292";"169";
"104310";"161";
"104346";"305";
"104358";"401";
"104360";"233";
"104371";"229";
"104401";"222";
"104413";"395";
"104425";"232";
"104437";"190";
"104449";"177";
"104462";"407";
"104528";"343";
"104541";"275";
"104565";"204";
"104577";"454";
"104589";"290";
"104607";"267";
"104619";"392";
"104620";"309";
"104632";"243";
"104644";"323";
"104656";"206";
