sep=;
Schulnummer;Anzahl;
"121680";"277";
"121691";"240";
"121708";"199";
"121721";"459";
"121733";"305";
"121745";"295";
"121769";"219";
"121770";"244";
"121794";"485";
"121800";"181";
"121812";"213";
"121836";"510";
"121848";"370";
"121850";"388";
"121861";"286";
"121885";"516";
"121897";"281";
"121903";"140";
"121915";"201";
"121927";"319";
"121940";"279";
"121964";"229";
"121976";"334";
"121988";"94";
"121990";"248";
"122002";"236";
"122014";"190";
"122026";"202";
"122038";"424";
"122040";"202";
"122051";"213";
"122063";"99";
"122087";"187";
"122099";"176";
"122117";"204";
"122129";"258";
"122130";"169";
"122142";"212";
"122166";"213";
"122178";"280";
"122180";"148";
"122191";"367";
"122208";"197";
"122210";"306";
"122221";"296";
"122245";"211";
"122257";"494";
"122269";"299";
"122270";"370";
"122282";"318";
"122294";"321";
"122336";"304";
"122348";"316";
"122373";"207";
"122385";"341";
"122403";"230";
"122415";"161";
"122439";"197";
"122440";"426";
"122464";"367";
"122476";"273";
"122488";"260";
"122490";"380";
"122506";"257";
"122518";"343";
"122555";"202";
"122579";"304";
"122580";"306";
"122592";"311";
"122610";"403";
"122646";"176";
"122658";"176";
"122660";"264";
"122713";"293";
"122737";"204";
"122749";"348";
"122774";"274";
"122798";"291";
"122804";"224";
"122816";"258";
"122828";"358";
"122830";"294";
"122841";"418";
"122889";"227";
"122907";"297";
"122920";"220";
"122932";"183";
"122944";"303";
"122968";"450";
"122970";"301";
"122981";"370";
"123018";"281";
"123031";"194";
"123043";"169";
"123055";"299";
"123067";"390";
"123080";"292";
"123092";"273";
"123109";"257";
"123134";"162";
"123146";"330";
"123158";"191";
"123160";"163";
"123183";"251";
"123195";"315";
"123201";"256";
"123213";"197";
"123225";"237";
"123237";"201";
"123249";"371";
"123262";"301";
"123274";"335";
"123298";"271";
"123304";"191";
"123316";"228";
"123328";"374";
"123341";"310";
"123353";"279";
"123365";"200";
"123377";"402";
"123389";"314";
"123407";"176";
"123419";"264";
"123420";"217";
"123444";"196";
"123468";"224";
"123470";"189";
"123481";"275";
"123493";"226";
"123500";"196";
"123511";"297";
"123523";"244";
"123535";"129";
"123559";"282";
"123572";"229";
"123596";"133";
"123602";"351";
"123614";"112";
"123626";"368";
"123640";"316";
"123663";"165";
"123705";"415";
"123730";"228";
"123754";"338";
"123766";"195";
"123780";"246";
"123791";"208";
"123808";"167";
"123810";"186";
"123821";"210";
"123833";"119";
"123857";"350";
"123869";"110";
"123870";"194";
"123882";"405";
"123924";"217";
"123936";"206";
"123948";"201";
"123950";"287";
"123961";"402";
"123973";"251";
"123985";"153";
"123997";"145";
"124000";"313";
"124011";"273";
"124059";"337";
"124060";"348";
"124084";"249";
"124102";"175";
"124114";"341";
"124126";"225";
"124138";"363";
"124151";"287";
"124163";"246";
"124175";"370";
"124187";"278";
"124199";"298";
"124205";"303";
"124217";"280";
"124229";"350";
"124230";"184";
"124242";"268";
"124254";"364";
"124266";"309";
"124278";"324";
"124280";"293";
"124291";"278";
"124308";"187";
"124310";"185";
"124321";"190";
"124333";"391";
"124345";"288";
"124357";"218";
"124370";"212";
"124382";"327";
"124394";"334";
"124400";"176";
"124412";"310";
"124424";"224";
"124436";"465";
"124448";"311";
"124450";"204";
"124461";"277";
"124497";"207";
"124503";"363";
"124515";"297";
"124527";"270";
"124539";"234";
"124540";"297";
"124552";"213";
"124564";"337";
"124576";"272";
"124588";"263";
"124590";"194";
"124606";"281";
"124618";"149";
"124631";"152";
"124679";"204";
"124692";"325";
"124709";"221";
"124722";"187";
"124734";"486";
"124746";"205";
"124771";"173";
"124801";"160";
"124825";"199";
"124850";"271";
"124862";"285";
"124874";"96";
"124898";"376";
"124904";"186";
"124941";"301";
"124953";"190";
"124965";"287";
"124977";"205";
"124989";"163";
"124990";"289";
"125003";"299";
"125015";"318";
"125027";"213";
"125039";"542";
"125052";"242";
"125064";"204";
"125088";"177";
"125090";"127";
"125106";"271";
"125118";"204";
"125120";"209";
"125155";"126";
"125167";"398";
"125180";"213";
"125210";"91";
"125222";"206";
"125234";"327";
"125246";"137";
"125258";"336";
"125271";"194";
"125283";"135";
"125295";"266";
"125301";"147";
"125313";"176";
"125325";"257";
"125349";"269";
"125362";"255";
"125374";"355";
"125398";"436";
"125404";"216";
"125416";"210";
"125428";"262";
"125430";"261";
"125465";"248";
"125477";"205";
"125489";"229";
"125490";"212";
"125507";"187";
"125519";"195";
"125520";"292";
"125532";"186";
"125544";"192";
"125556";"194";
"125568";"191";
"125570";"262";
"125581";"243";
"125593";"165";
"125600";"275";
"125611";"280";
"125623";"279";
"125635";"201";
"125647";"185";
"125659";"299";
"125702";"434";
"125714";"218";
"125726";"482";
"125751";"258";
"125763";"290";
"125775";"211";
"125787";"233";
"125799";"215";
"125817";"203";
"125829";"194";
"125842";"212";
"125878";"199";
"125880";"355";
"125891";"232";
"125910";"204";
"125921";"205";
"125969";"426";
"126123";"101";
"126135";"199";
"126159";"139";
"126184";"418";
"126196";"268";
"126240";"197";
"126251";"236";
"126317";"165";
"126330";"355";
"126380";"182";
"126408";"244";
"126410";"215";
"126421";"298";
"126433";"314";
"126445";"384";
"126457";"316";
"126469";"320";
"126470";"276";
"126494";"243";
"126500";"312";
"126512";"296";
"126524";"219";
"126536";"214";
"126561";"131";
"126573";"256";
"126597";"298";
"126615";"233";
"126627";"128";
"126639";"156";
"126640";"383";
"126652";"331";
"126664";"201";
"126690";"308";
"126706";"322";
"126720";"179";
"126731";"146";
"126780";"123";
"126792";"177";
"126809";"164";
"126810";"210";
"126834";"204";
"126846";"303";
"126860";"294";
"126871";"212";
"126883";"133";
"126895";"335";
"126913";"522";
"126937";"228";
"126949";"404";
"126950";"305";
"126962";"231";
"126974";"466";
"126986";"165";
"126998";"406";
"127024";"265";
"127048";"286";
"127050";"170";
"127061";"163";
"127073";"249";
"127085";"208";
"127097";"322";
"127139";"304";
"127164";"176";
"127188";"213";
"127206";"201";
"127218";"280";
"127220";"380";
"127243";"293";
"127267";"330";
"127292";"255";
"127310";"401";
"127346";"211";
"127360";"377";
"127371";"336";
"127383";"310";
"127395";"301";
"127401";"302";
"127425";"211";
"127450";"426";
"127462";"353";
"127474";"176";
"127486";"271";
"127498";"222";
"127516";"195";
"127528";"416";
"127530";"203";
"127565";"389";
"127589";"163";
"127590";"305";
"127607";"198";
"127619";"212";
"127620";"272";
"127632";"139";
"127656";"373";
"127668";"392";
"127670";"302";
"127681";"291";
"127693";"341";
"127700";"277";
"127711";"373";
"127735";"271";
"127747";"426";
"127759";"297";
"127814";"128";
"127840";"237";
"127851";"147";
"127929";"177";
"127942";"309";
"127954";"230";
"127966";"203";
"127978";"202";
"127980";"259";
"128004";"213";
"128016";"314";
"128030";"307";
"128053";"291";
"128065";"233";
"128089";"232";
"128090";"248";
"128119";"187";
"128120";"233";
"128132";"198";
"128144";"255";
"128156";"197";
"128168";"197";
"128193";"373";
"128200";"373";
"128259";"198";
"128260";"360";
"128284";"349";
"128296";"261";
"128302";"364";
"128338";"288";
"128375";"223";
"128387";"369";
"128417";"273";
"128429";"385";
"128442";"197";
"128454";"260";
"128480";"308";
"128491";"237";
"128510";"336";
"128533";"300";
"128545";"280";
"128557";"238";
"128569";"361";
"128582";"232";
"128594";"235";
"128600";"325";
"128612";"209";
"128624";"206";
"128636";"264";
"128673";"354";
"128685";"237";
"128697";"443";
"128739";"279";
"128740";"233";
"128776";"364";
"128806";"556";
"128818";"303";
"128820";"208";
"128843";"207";
"128867";"296";
"128879";"171";
"128880";"248";
"128910";"381";
"128922";"325";
"128960";"238";
"128971";"230";
"128995";"208";
"129010";"243";
"129021";"243";
"129045";"381";
"129070";"295";
"129082";"198";
"129094";"307";
"129100";"207";
"129124";"352";
"129136";"285";
"129150";"202";
"129161";"310";
"129173";"260";
"129185";"243";
"129197";"261";
"129203";"318";
"129215";"211";
"129227";"421";
"129239";"231";
"129264";"143";
"129276";"204";
"129288";"187";
"129306";"200";
"129318";"213";
"129355";"188";
"129379";"316";
"129392";"213";
"129409";"305";
"129410";"200";
"129446";"211";
"129458";"202";
"129460";"213";
"129495";"206";
"129501";"289";
"129513";"281";
"129525";"290";
"129537";"455";
"129549";"232";
"129550";"222";
"129562";"311";
"129574";"525";
"129586";"227";
"129598";"232";
"129616";"187";
"129628";"109";
"129630";"231";
"129641";"414";
"129653";"376";
"129665";"292";
"129677";"201";
"129689";"244";
"129690";"220";
"129707";"220";
"129719";"225";
"129720";"507";
"129732";"109";
"129744";"222";
"129756";"236";
"129768";"94";
"129770";"240";
"129781";"231";
"129793";"365";
"129800";"203";
"129811";"296";
"129823";"330";
"129835";"347";
"129847";"197";
"129859";"169";
"129860";"320";
"129884";"362";
"129896";"331";
"129902";"361";
"129914";"372";
"129926";"343";
"129938";"418";
"129940";"240";
"129963";"275";
"129975";"346";
"129987";"437";
"129999";"154";
"130000";"395";
"130011";"312";
"130023";"221";
"130035";"320";
"130059";"397";
"130060";"399";
"130072";"242";
"130096";"330";
"130102";"225";
"130114";"392";
"130126";"452";
"130138";"302";
"130140";"238";
"130151";"266";
"130175";"113";
"130187";"283";
"130217";"394";
"130229";"308";
"130230";"308";
"130242";"242";
"130254";"190";
"130278";"226";
"130291";"319";
"130308";"328";
"130310";"387";
"130321";"372";
"130333";"420";
"130345";"237";
"130357";"190";
"130369";"195";
"130370";"339";
"130382";"200";
"130412";"226";
"130424";"395";
"130436";"295";
"130461";"403";
"130473";"189";
"130485";"369";
"130497";"310";
"130503";"314";
"130515";"249";
"130527";"196";
"130539";"378";
"130540";"298";
"130552";"207";
"130564";"240";
"130576";"225";
"130588";"316";
"130618";"262";
"130643";"204";
"130679";"188";
"130680";"120";
"130722";"442";
"130734";"221";
"130758";"387";
"130760";"218";
"130783";"362";
"130795";"315";
"130813";"173";
"130825";"319";
"130849";"297";
"130850";"312";
"130862";"435";
"130874";"284";
"130886";"205";
"130898";"300";
"130904";"471";
"130977";"298";
"130989";"278";
"130990";"218";
"131003";"267";
"131015";"301";
"131027";"321";
"131039";"439";
"131040";"436";
"131052";"298";
"131064";"260";
"131088";"350";
"131090";"327";
"131120";"403";
"131131";"328";
"131155";"297";
"131167";"374";
"131179";"392";
"131209";"189";
"131210";"176";
"131222";"206";
"131234";"224";
"131246";"251";
"131260";"218";
"131271";"193";
"131283";"254";
"131295";"184";
"131301";"108";
"131313";"184";
"131325";"201";
"131337";"305";
"131350";"204";
"131404";"161";
"131430";"269";
"131441";"140";
"131453";"414";
"131477";"401";
"131507";"200";
"131519";"164";
"131556";"271";
"131568";"445";
"131581";"229";
"131600";"329";
"131611";"410";
"131623";"213";
"131635";"254";
"131659";"213";
"131660";"188";
"131684";"195";
"131702";"204";
"131738";"199";
"131751";"221";
"131775";"350";
"131799";"200";
"131817";"479";
"131842";"236";
"131854";"179";
"131866";"334";
"131878";"192";
"131880";"92";
"131891";"188";
"131910";"149";
"131921";"290";
"131933";"150";
"131945";"241";
"131957";"134";
"131970";"169";
"131982";"98";
"132007";"132";
"132020";"257";
"132044";"226";
"132068";"108";
"132081";"176";
"132093";"191";
"132135";"110";
"132160";"84";
"132172";"151";
"132202";"125";
"132214";"298";
"132226";"303";
"132287";"494";
"132299";"484";
"132317";"264";
"132342";"214";
"132366";"291";
"132408";"185";
"132410";"204";
"132433";"87";
"132457";"153";
"132470";"209";
"132524";"174";
"132550";"333";
"132573";"103";
"132640";"250";
"132652";"329";
"132676";"256";
"132706";"213";
"132718";"372";
"132720";"182";
"132731";"307";
"132755";"257";
"132779";"371";
"132780";"251";
"132792";"173";
"132810";"202";
"132822";"116";
"132834";"281";
"132860";"204";
"132883";"240";
"132895";"282";
"132901";"206";
"132937";"281";
"132950";"180";
"132962";"234";
"132974";"102";
"132986";"205";
"133000";"101";
"133024";"214";
"133036";"257";
"133048";"206";
"133050";"240";
"133073";"325";
"133085";"390";
"133097";"208";
"133115";"117";
"133127";"295";
"133139";"415";
"133140";"119";
"133152";"106";
"133164";"149";
"133176";"242";
"133190";"283";
"133206";"207";
"133218";"232";
"133231";"206";
"133255";"362";
"133267";"236";
"133280";"282";
"133292";"277";
"133309";"266";
"133322";"482";
"133358";"224";
"133360";"284";
"133383";"221";
"133401";"143";
"133413";"240";
"133437";"183";
"133449";"179";
"133450";"150";
"133462";"204";
"133474";"169";
"133486";"170";
"133498";"179";
"133504";"132";
"133516";"293";
"133530";"311";
"133565";"142";
"133590";"285";
"133607";"201";
"133619";"216";
"133620";"229";
"133644";"251";
"133668";"166";
"133670";"261";
"133681";"193";
"133700";"270";
"133711";"206";
"133723";"324";
"133735";"335";
"133747";"322";
"133760";"185";
"133772";"350";
"133784";"398";
"133802";"200";
"133814";"342";
"133838";"197";
"133863";"109";
"133875";"388";
"133899";"316";
"133917";"317";
"133930";"133";
"133954";"103";
"133966";"102";
"133978";"146";
"133980";"317";
"134028";"128";
"134030";"91";
"134065";"181";
"134089";"140";
"134119";"278";
"134132";"364";
"134156";"97";
"134181";"130";
"134211";"285";
"134247";"149";
"134259";"143";
"134260";"364";
"134296";"504";
"134387";"409";
"134399";"111";
"134405";"151";
"134417";"128";
"134429";"87";
"134454";"188";
"134480";"226";
"134521";"241";
"134533";"108";
"134569";"153";
"134570";"213";
"134582";"211";
"134600";"223";
"134648";"237";
"134661";"251";
"134685";"189";
"134703";"467";
"134727";"285";
"134739";"273";
"134764";"369";
"134790";"378";
"134831";"158";
"134843";"197";
"134855";"376";
"134867";"200";
"134879";"212";
"134892";"303";
"134909";"203";
"134910";"196";
"134922";"194";
"134934";"203";
"134946";"193";
"134960";"187";
"134971";"193";
"134995";"146";
"135008";"96";
"135033";"381";
"135045";"177";
"135057";"151";
"135069";"205";
"135070";"185";
"135094";"175";
"135100";"339";
"135112";"202";
"135124";"226";
"135136";"166";
"135148";"318";
"135161";"186";
"135185";"338";
"135197";"106";
"135215";"340";
"135240";"198";
"135264";"314";
"135288";"302";
"135290";"100";
"135331";"223";
"135343";"150";
"135355";"156";
"135367";"243";
"135379";"160";
"135380";"120";
"135392";"211";
"135409";"160";
"135434";"384";
"135446";"452";
"135458";"187";
"135460";"249";
"135471";"208";
"135483";"302";
"135495";"319";
"135501";"187";
"135513";"165";
"135525";"283";
"135537";"305";
"135549";"146";
"135550";"265";
"135562";"230";
"135586";"202";
"135598";"214";
"135604";"211";
"135616";"344";
"135630";"279";
"135653";"284";
"135665";"277";
"135677";"225";
"135690";"113";
"135707";"144";
"135720";"226";
"135732";"243";
"135744";"293";
"135756";"326";
"135768";"307";
"135781";"158";
"135793";"320";
"135823";"314";
"135835";"244";
"135847";"265";
"135859";"285";
"135860";"214";
"135872";"386";
"135884";"304";
"135896";"278";
"135902";"188";
"135926";"388";
"135938";"411";
"135951";"106";
"135963";"155";
"135975";"186";
"135987";"256";
"135999";"186";
"136001";"166";
"136013";"432";
"136025";"308";
"136037";"284";
"136050";"344";
"136062";"306";
"136074";"209";
"136086";"116";
"136098";"260";
"136104";"78";
"136128";"238";
"136153";"94";
"136189";"255";
"136190";"99";
"136207";"133";
"136281";"331";
"136323";"312";
"136359";"273";
"136384";"323";
"136440";"347";
"136505";"304";
"136566";"314";
"136967";"260";
"136980";"383";
"137364";"297";
"137674";"403";
"137716";"113";
"137728";"339";
"137807";"350";
"137947";"390";
"138344";"347";
"138368";"94";
"138393";"386";
"138538";"361";
"138540";"325";
"138629";"304";
"138680";"325";
"138708";"395";
"138848";"301";
"139099";"313";
"139166";"316";
"139518";"227";
"139671";"212";
"139701";"217";
"139828";"312";
"139993";"234";
"140272";"324";
"140387";"189";
"140478";"310";
"140545";"337";
"140594";"229";
"140673";"273";
"140685";"334";
"140843";"262";
"140867";"231";
"140879";"375";
"140892";"426";
"140909";"276";
"140960";"310";
"141021";"312";
"141070";"301";
"141082";"332";
"141161";"338";
"141173";"452";
"141240";"312";
"141252";"248";
"141276";"270";
"141331";"213";
"141367";"352";
"141392";"180";
"141483";"232";
"141513";"315";
"141549";"262";
"141628";"320";
"141665";"266";
"141847";"272";
"141860";"266";
"141872";"336";
"141902";"225";
"141914";"216";
"142025";"312";
"142177";"322";
"142268";"260";
"142359";"391";
"142426";"457";
"142529";"294";
"142797";"405";
"142827";"287";
"142839";"174";
"142967";"427";
"143054";"452";
"143170";"249";
"143212";"285";
"143224";"284";
"143273";"54";
"143364";"452";
"143390";"326";
"143418";"538";
"143492";"293";
"143662";"460";
"143777";"307";
"143996";"485";
"144101";"282";
"144174";"230";
"144411";"312";
"144447";"332";
"144551";"278";
"144599";"223";
"144800";"291";
"144836";"340";
"144976";"440";
"145130";"422";
"145233";"396";
"145245";"263";
"145403";"267";
"145464";"231";
"145476";"174";
"145490";"166";
"145506";"278";
"145634";"599";
"146067";"305";
"146547";"214";
"146584";"275";
"146675";"161";
"147084";"257";
"147102";"501";
"147370";"392";
"147709";"275";
"147801";"261";
"147898";"285";
"147941";"372";
"147977";"485";
"148015";"270";
"148076";"373";
"148143";"263";
"148192";"372";
"148258";"402";
"148349";"312";
"148350";"300";
"148453";"364";
"148519";"367";
"148532";"319";
"148544";"352";
"148740";"477";
"148805";"139";
"148891";"308";
"149135";"286";
"149172";"241";
"149214";"357";
"149408";"299";
"149548";"211";
"149603";"259";
"149792";"363";
"149913";"241";
"149949";"235";
"149950";"389";
"150228";"202";
"150447";"219";
"150721";"159";
"150733";"205";
"150782";"237";
"150800";"233";
"150850";"420";
"150861";"288";
"150873";"147";
"150885";"319";
"150897";"402";
"150903";"204";
"150927";"265";
"150940";"202";
"150952";"177";
"150988";"290";
"150990";"343";
"151002";"310";
"151040";"283";
"151051";"175";
"151063";"270";
"151087";"181";
"151105";"118";
"151117";"262";
"151130";"114";
"151142";"256";
"151166";"275";
"151178";"169";
"151191";"164";
"151221";"214";
"151245";"301";
"151282";"459";
"151397";"170";
"151403";"368";
"151415";"225";
"151476";"367";
"151488";"120";
"151490";"177";
"151567";"324";
"151622";"124";
"151634";"125";
"151646";"187";
"151658";"170";
"151660";"104";
"151804";"340";
"151830";"219";
"151841";"248";
"151865";"236";
"151877";"221";
"151889";"232";
"151890";"201";
"151919";"366";
"151932";"152";
"151956";"154";
"151981";"222";
"151993";"247";
"152006";"242";
"152020";"286";
"152031";"426";
"152109";"349";
"152110";"182";
"152122";"361";
"152171";"370";
"152225";"191";
"152286";"231";
"152353";"271";
"152365";"507";
"152377";"103";
"152407";"396";
"152419";"263";
"152470";"173";
"152493";"84";
"152511";"211";
"152523";"182";
"152614";"368";
"152778";"213";
"152857";"204";
"152882";"227";
"152900";"225";
"152924";"156";
"152936";"239";
"153096";"239";
"153114";"208";
"153187";"93";
"153217";"168";
"153266";"203";
"153308";"81";
"153310";"63";
"153321";"325";
"153345";"222";
"153394";"206";
"153400";"121";
"153424";"168";
"153436";"155";
"153450";"137";
"153588";"193";
"153590";"363";
"153710";"173";
"153783";"282";
"153795";"264";
"153849";"169";
"153898";"220";
"153916";"222";
"153941";"233";
"153977";"272";
"154015";"159";
"154027";"143";
"154040";"241";
"154088";"96";
"154106";"507";
"154143";"119";
"154179";"83";
"154180";"123";
"154209";"136";
"154210";"173";
"154222";"143";
"154246";"144";
"154260";"217";
"154337";"266";
"154362";"211";
"154374";"238";
"154428";"286";
"154465";"239";
"154490";"275";
"154507";"177";
"154519";"106";
"154520";"165";
"154556";"177";
"154593";"198";
"154600";"134";
"154623";"136";
"154647";"186";
"154660";"119";
"154684";"206";
"154696";"217";
"154714";"217";
"154763";"179";
"154799";"172";
"154805";"195";
"154817";"147";
"154829";"295";
"154830";"190";
"154842";"146";
"154880";"197";
"154945";"210";
"154957";"261";
"154969";"129";
"154970";"143";
"154982";"232";
"154994";"223";
"155007";"218";
"155019";"184";
"155068";"30";
"155081";"272";
"155100";"124";
"155135";"76";
"155147";"298";
"155159";"203";
"155196";"195";
"155226";"72";
"155240";"78";
"155329";"186";
"155445";"155";
"155457";"171";
"155470";"276";
"155494";"206";
"155536";"188";
"155561";"226";
"155597";"166";
"155615";"145";
"155690";"162";
"155731";"231";
"155779";"138";
"155780";"275";
"155792";"250";
"155809";"251";
"155822";"267";
"155858";"164";
"155895";"163";
"155901";"165";
"155913";"346";
"155925";"163";
"155949";"208";
"155998";"204";
"156048";"278";
"156073";"39";
"156097";"190";
"156127";"194";
"156139";"256";
"156255";"228";
"156309";"222";
"156334";"155";
"156358";"253";
"156401";"341";
"156425";"115";
"156530";"187";
"156541";"193";
"156565";"290";
"156589";"215";
"156644";"202";
"156656";"228";
"156700";"381";
"156735";"197";
"156796";"12";
"156814";"143";
"156840";"110";
"156899";"217";
"156917";"89";
"156930";"341";
"156942";"195";
"156980";"266";
"157004";"7";
"157016";"209";
"157028";"135";
"157030";"96";
"157065";"239";
"157107";"209";
"157120";"265";
"157200";"249";
"157247";"464";
"157296";"248";
"157326";"161";
"157338";"250";
"157351";"104";
"157363";"236";
"157430";"420";
"157442";"550";
"157454";"187";
"157466";"266";
"157491";"250";
"157510";"241";
"157533";"157";
"157648";"177";
"157650";"174";
"157727";"255";
"157818";"217";
"157855";"64";
"157867";"19";
"157892";"169";
"157922";"78";
"157934";"124";
"157958";"167";
"158010";"199";
"158021";"234";
"158070";"258";
"158136";"232";
"158215";"115";
"158276";"272";
"158318";"140";
"158331";"173";
"158355";"244";
"158379";"220";
"158410";"283";
"158471";"346";
"158550";"637";
"158574";"533";
"158586";"506";
"158598";"502";
"158604";"576";
"158616";"711";
"158630";"534";
"158641";"669";
"158665";"406";
"158689";"526";
"158690";"534";
"158707";"597";
"158719";"597";
"158744";"591";
"158781";"590";
"158811";"840";
"158823";"738";
"158835";"642";
"158847";"532";
"158859";"669";
"158872";"529";
"158884";"696";
"158896";"584";
"158902";"402";
"158940";"414";
"158975";"748";
"158999";"844";
"159001";"615";
"159037";"745";
"159049";"803";
"159050";"728";
"159062";"402";
"159086";"882";
"159098";"935";
"159104";"589";
"159141";"869";
"159165";"892";
"159177";"763";
"159189";"650";
"159190";"746";
"159207";"803";
"159220";"718";
"159232";"693";
"159244";"629";
"159256";"749";
"159270";"520";
"159281";"555";
"159293";"578";
"159300";"610";
"159311";"871";
"159335";"598";
"159372";"441";
"159384";"551";
"159414";"97";
"159438";"421";
"159440";"691";
"159463";"587";
"159487";"410";
"159505";"513";
"159529";"395";
"159554";"410";
"159566";"505";
"159580";"670";
"159591";"509";
"159633";"542";
"159645";"966";
"159669";"700";
"159670";"421";
"159694";"543";
"159748";"503";
"159773";"659";
"159815";"706";
"159839";"538";
"159852";"503";
"159876";"743";
"159918";"800";
"159955";"492";
"159967";"461";
"159980";"324";
"159992";"546";
"160027";"524";
"160064";"759";
"160076";"466";
"160090";"524";
"160106";"513";
"160118";"616";
"160120";"481";
"160131";"623";
"160155";"526";
"160179";"448";
"160180";"498";
"160192";"704";
"160209";"634";
"160210";"363";
"160222";"466";
"160260";"386";
"160271";"634";
"160283";"577";
"160295";"498";
"160301";"623";
"160313";"658";
"160337";"551";
"160350";"607";
"160386";"536";
"160398";"652";
"160404";"535";
"160416";"880";
"160428";"695";
"160430";"361";
"160441";"536";
"160453";"711";
"160465";"486";
"160477";"502";
"160519";"441";
"160532";"513";
"160544";"501";
"160556";"381";
"160568";"462";
"160570";"668";
"160581";"745";
"160593";"636";
"160600";"458";
"160635";"361";
"160714";"330";
"160738";"578";
"160787";"558";
"160805";"570";
"160829";"411";
"160830";"671";
"160842";"766";
"160891";"114";
"160933";"547";
"160945";"480";
"160957";"531";
"160994";"838";
"161019";"509";
"161032";"939";
"161044";"552";
"161068";"497";
"161070";"632";
"161081";"536";
"161093";"554";
"161100";"656";
"161111";"662";
"161123";"709";
"161160";"880";
"161196";"668";
"161202";"691";
"161214";"647";
"161226";"397";
"161240";"532";
"161275";"462";
"161299";"479";
"161305";"493";
"161317";"662";
"161329";"562";
"161330";"389";
"161380";"484";
"161421";"556";
"161433";"525";
"161470";"459";
"161482";"639";
"161494";"523";
"161548";"586";
"161573";"451";
"161603";"607";
"161639";"585";
"161664";"938";
"161676";"376";
"161690";"587";
"161706";"515";
"161720";"635";
"161755";"526";
"161767";"656";
"161779";"659";
"161780";"473";
"161792";"491";
"161809";"310";
"161810";"854";
"161846";"839";
"161883";"502";
"161895";"391";
"161913";"523";
"161925";"252";
"161949";"566";
"161974";"761";
"161986";"372";
"161998";"555";
"162012";"579";
"162024";"517";
"162036";"836";
"162048";"678";
"162050";"672";
"162073";"464";
"162115";"626";
"162127";"728";
"162139";"644";
"162164";"670";
"162188";"579";
"162190";"543";
"162206";"496";
"162218";"667";
"162220";"369";
"162231";"404";
"162292";"555";
"162309";"338";
"162310";"565";
"162322";"689";
"162334";"554";
"162425";"65";
"162437";"754";
"162450";"536";
"162462";"556";
"162504";"371";
"162528";"690";
"162530";"860";
"162577";"530";
"162589";"872";
"162607";"614";
"162656";"732";
"162681";"588";
"162711";"712";
"162735";"698";
"162747";"485";
"162760";"744";
"162784";"260";
"162796";"618";
"162814";"774";
"162826";"561";
"162840";"505";
"162851";"542";
"162863";"726";
"162875";"705";
"162887";"664";
"162899";"625";
"162917";"136";
"162929";"643";
"162930";"619";
"162978";"563";
"162980";"677";
"162991";"577";
"163004";"753";
"163028";"674";
"163030";"548";
"163041";"643";
"163053";"692";
"163065";"581";
"163077";"698";
"163089";"760";
"163090";"147";
"163107";"472";
"163119";"703";
"163144";"663";
"163156";"463";
"163211";"681";
"163235";"455";
"163247";"487";
"163260";"545";
"163314";"657";
"163326";"615";
"163340";"593";
"163351";"591";
"163363";"615";
"163375";"793";
"163405";"506";
"163430";"554";
"163442";"447";
"163454";"496";
"163480";"569";
"163491";"366";
"163508";"402";
"163510";"470";
"163521";"556";
"163569";"297";
"163582";"164";
"163600";"446";
"163648";"320";
"163685";"612";
"163697";"515";
"163727";"455";
"163739";"471";
"163740";"507";
"163764";"574";
"163776";"541";
"163788";"331";
"163790";"315";
"163820";"356";
"163831";"462";
"163843";"361";
"163922";"489";
"163960";"171";
"163971";"342";
"164021";"326";
"164033";"380";
"164045";"622";
"164094";"461";
"164100";"1271";
"164112";"590";
"164124";"1422";
"164136";"1485";
"164148";"1445";
"164150";"399";
"164161";"1662";
"164173";"401";
"164185";"1419";
"164197";"1414";
"164203";"1216";
"164215";"572";
"164227";"936";
"164239";"1347";
"164240";"1173";
"164252";"745";
"164264";"1002";
"164276";"1212";
"164290";"1144";
"164306";"889";
"164318";"941";
"164320";"1160";
"164343";"797";
"164355";"1012";
"164379";"1006";
"164380";"1066";
"164392";"1131";
"164409";"1000";
"164434";"986";
"164446";"723";
"164458";"1090";
"164460";"1099";
"164471";"808";
"164483";"793";
"164495";"995";
"164501";"806";
"164513";"1089";
"164525";"960";
"164537";"1116";
"164549";"1323";
"164586";"918";
"164598";"749";
"164604";"781";
"164616";"1344";
"164641";"679";
"164665";"903";
"164677";"733";
"164707";"953";
"164719";"1246";
"164732";"812";
"164744";"517";
"164756";"820";
"164770";"1093";
"164781";"770";
"164793";"959";
"164800";"1018";
"164811";"1154";
"164835";"392";
"164847";"887";
"164859";"912";
"164860";"1319";
"164872";"1029";
"164884";"689";
"164896";"844";
"164902";"924";
"164914";"606";
"164926";"973";
"164938";"823";
"164940";"461";
"164951";"600";
"164975";"889";
"164987";"639";
"164999";"875";
"165001";"971";
"165013";"1153";
"165037";"1047";
"165049";"624";
"165050";"762";
"165062";"662";
"165086";"587";
"165098";"925";
"165104";"1144";
"165116";"1108";
"165128";"849";
"165130";"862";
"165141";"882";
"165153";"875";
"165165";"925";
"165189";"860";
"165190";"1056";
"165207";"918";
"165219";"868";
"165220";"1168";
"165244";"1103";
"165256";"789";
"165268";"678";
"165270";"734";
"165281";"823";
"165293";"687";
"165300";"887";
"165311";"802";
"165335";"839";
"165347";"918";
"165359";"929";
"165360";"751";
"165372";"871";
