sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"12221";"Stadt Neukirchen-Vluyn";"";"";"Stadt Neukirchen-Vluyn";"47506";"Neukirchen-Vluyn";"Hans-Böckler-Str. 26";"02845";"3910";"02845";"391100";"05170028";"1";
"12257";"Gemeinde Alpen";"";"";"Gemeinde Alpen";"46519";"Alpen";"Rathausstr. 5";"02802";"2030";"";"";"05170004";"1";
"12269";"Gemeinde Sonsbeck";"";"";"Gemeinde Sonsbeck";"47665";"Sonsbeck";"Herrenstr. 2";"02838";"360";"02838";"36109";"05170040";"1";
"12270";"Gemeinde Rheurdt";"";"";"Gemeinde Rheurdt";"47509";"Rheurdt";"Rathausstr. 35";"02845";"96330";"02845";"963313";"05154048";"1";
"12282";"Stadt Emmerich am Rhein";"";"";"Stadt Emmerich am Rhein";"46446";"Emmerich am Rhein";"Geistmarkt 1";"02822";"750";"";"";"05154008";"1";
"12294";"Stadt Isselburg";"";"";"Stadt Isselburg";"46419";"Isselburg";"Minervastr. 12";"02874";"9110";"02874";"91120";"05554032";"1";
"12300";"Stadt Rees";"";"";"Stadt Rees";"46459";"Rees";"Markt 1";"02851";"1011";"";"";"05154044";"1";
"12312";"Stadt Wesel";"";"";"Stadt Wesel";"46483";"Wesel";"Klever-Tor-Platz 1";"0281";"2031";"";"";"05170048";"1";
"12350";"Stadt Hamminkeln";"";"";"Stadt Hamminkeln";"46499";"Hamminkeln";"Brüner Str. 9";"02852";"880";"02852";"88130";"05170012";"1";
"12397";"Stadt Burscheid";"";"";"Stadt Burscheid";"51399";"Burscheid";"Höhestr. 7-9";"02174";"6700";"";"";"05378008";"1";
"12403";"Stadt Hückeswagen";"";"";"Stadt Hückeswagen";"42499";"Hückeswagen";"Bahnhofsplatz 14";"02192";"880";"02192";"88288";"05374016";"1";
"12415";"Stadt Langenfeld";"";"";"Stadt Langenfeld";"40764";"Langenfeld (Rheinland)";"Konrad-Adenauer-Platz 1";"02173";"7940";"02173";"79499999";"05158020";"1";
"12427";"Stadt Leichlingen";"";"";"Stadt Leichlingen";"42799";"Leichlingen (Rheinland)";"Am Büscherhof 1";"02175";"3041";"";"";"05378016";"1";
"12439";"Stadt Monheim am Rhein";"";"";"Stadt Monheim am Rhein";"40789";"Monheim am Rhein";"Rathausplatz 2";"02173";"9510";"02173";"951899";"05158026";"1";
"12452";"Stadt Radevormwald";"";"";"Stadt Radevormwald";"42477";"Radevormwald";"Hohenfuhrstr. 13";"02195";"7011";"";"";"05374036";"1";
"12490";"Stadt Wermelskirchen";"";"";"Stadt Wermelskirchen";"42929";"Wermelskirchen";"Telegrafenstr. 16-20";"02196";"7100";"02196";"710555";"05378032";"1";
"12518";"Stadt Bedburg";"";"";"Stadt Bedburg";"50181";"Bedburg";"Am Rathaus 1";"02272";"4020";"02272";"402149";"05362004";"1";
"12520";"Stadt Bergheim";"";"";"Stadt Bergheim";"50126";"Bergheim";"Bethlehemer Str. 11";"02271";"890";"02271";"89239";"05362008";"1";
"12609";"Stadt Elsdorf";"";"";"Stadt Elsdorf";"50189";"Elsdorf";"Gladbacher Str. 111";"02274";"7090";"";"";"05362016";"1";
"12646";"Stadt Kerpen";"";"";"Stadt Kerpen";"50171";"Kerpen";"Jahnplatz 1";"02237";"580";"02237";"58102";"05362032";"1";
"12695";"Stadt Erftstadt";"";"";"Stadt Erftstadt";"50374";"Erftstadt";"Bahnhofstr. 1";"02235";"409285";"02235";"409505";"05362020";"1";
"12701";"Stadt Euskirchen";"";"";"Stadt Euskirchen";"53879";"Euskirchen";"Kölner Str. 75";"02251";"140";"02251";"14249";"05366016";"1";
"12713";"Stadt Bad Münstereifel";"";"";"Stadt Bad Münstereifel";"53902";"Bad Münstereifel";"Marktstr. 11";"02253";"5050";"02253";"505114";"05366004";"1";
"12725";"Gemeinde Weilerswist";"";"";"Gemeinde Weilerswist";"53919";"Weilerswist";"Bonner Str. 29";"02254";"96000";"02254";"9600200";"05366040";"1";
"12737";"Stadt Zülpich";"";"";"Stadt Zülpich";"53909";"Zülpich";"Markt 21";"02252";"520";"02252";"52299";"05366044";"1";
"12749";"Gemeinde Blankenheim";"";"";"Gemeinde Blankenheim";"53945";"Blankenheim";"Rathausplatz 16";"02449";"870";"02449";"87199";"05366008";"1";
"12750";"Gemeinde Dahlem";"";"";"Gemeinde Dahlem";"53949";"Dahlem";"Hauptstr. 23";"02447";"95550";"02447";"955555";"05366012";"1";
"12762";"Gemeinde Hellenthal";"";"";"Gemeinde Hellenthal";"53940";"Hellenthal";"Rathausstr. 2";"02482";"850";"";"";"05366020";"1";
"12774";"Gemeinde Kall";"";"";"Gemeinde Kall";"53925";"Kall";"Bahnhofstr. 9";"02441";"8880";"02441";"88870";"05366024";"1";
"12786";"Stadt Mechernich";"";"";"Stadt Mechernich";"53894";"Mechernich";"Bergstr. 1";"02443";"490";"02443";"495510";"05366028";"1";
"12798";"Gemeinde Nettersheim";"";"";"Gemeinde Nettersheim";"53947";"Nettersheim";"Krausstr. 2";"02486";"780";"02486";"78780";"05366032";"1";
"12804";"Stadt Schleiden";"";"";"Stadt Schleiden";"53937";"Schleiden";"Blankenheimer Str. 2";"02445";"890";"02445";"89250";"05366036";"1";
"12816";"Stadt Brühl";"";"";"Stadt Brühl";"50321";"Brühl";"Steinweg 1";"02232";"790";"02232";"48051";"05362012";"1";
"12828";"Stadt Frechen";"";"";"Stadt Frechen";"50226";"Frechen";"Antoniterstr. 1";"02234";"5011";"02234";"5011219";"05362024";"1";
"12841";"Stadt Hürth";"";"";"Stadt Hürth";"50354";"Hürth";"Friedrich-Ebert-Str. 40";"02233";"530";"02233";"53149";"05362028";"1";
"12889";"Stadt Wesseling";"";"";"Stadt Wesseling";"50389";"Wesseling";"Alfons-Müller-Platz 2";"02236";"7010";"02236";"701339";"05362040";"1";
"12890";"Stadt Pulheim";"";"";"Stadt Pulheim";"50259";"Pulheim";"Alte Kölner Str. 26";"02238";"808200";"02238";"808479";"05362036";"1";
"12919";"Stadt Bergneustadt";"";"";"Stadt Bergneustadt";"51702";"Bergneustadt";"Kölner Str. 256";"02261";"4040";"02261";"404175";"05374004";"1";
"12932";"Stadt Gummersbach";"Der Stadtdirektor";"";"Stadt Gummersbach";"51643";"Gummersbach";"Rathausplatz 1";"02261";"871";"02261";"87600";"05374012";"1";
"12944";"Gemeinde Nümbrecht";"";"";"Gemeinde Nümbrecht";"51588";"Nümbrecht";"Hauptstr. 16";"02293";"561";"";"";"05374032";"1";
"12956";"Gemeinde Marienheide";"";"";"Gemeinde Marienheide";"51709";"Marienheide";"Hauptstr. 20";"02264";"40440";"02264";"4044261";"05374024";"1";
"12968";"Gemeinde Morsbach";"";"";"Gemeinde Morsbach";"51597";"Morsbach";"Bahnhofstr. 2";"02294";"6990";"02294";"699187";"05374028";"1";
"12970";"Gemeinde Reichshof";"";"";"Gemeinde Reichshof";"51580";"Reichshof";"Hauptstr. 12";"02296";"8010";"02296";"801395";"05374040";"1";
"12993";"Stadt Waldbröl";"";"";"Stadt Waldbröl";"51545";"Waldbröl";"Nümbrechter Str. 18-21";"02291";"850";"02291";"85125";"05374044";"1";
"13006";"Stadt Wiehl";"";"";"Stadt Wiehl";"51674";"Wiehl";"Bahnhofstr. 1";"02262";"990";"02262";"99152";"05374048";"1";
"13020";"Stadt Bergisch Gladbach";"";"";"Stadt Bergisch Gladbach";"51469";"Bergisch Gladbach";"Scheidtbachstr. 23";"02202";"140";"02202";"14702809";"05378004";"1";
"13043";"Stadt Wipperfürth";"";"";"Stadt Wipperfürth";"51688";"Wipperfürth";"Marktplatz 1";"02267";"640";"02267";"64311";"05374052";"1";
"13067";"Gemeinde Lindlar";"";"";"Gemeinde Lindlar";"51789";"Lindlar";"Borromäusstr. 1";"02266";"960";"02266";"8867";"05374020";"1";
"13079";"Gemeinde Odenthal";"";"";"Gemeinde Odenthal";"51519";"Odenthal";"Altenberger-Dom-Str. 31";"02202";"7100";"02202";"710190";"05378020";"1";
"13080";"Stadt Overath";"";"";"Stadt Overath";"51491";"Overath";"Hauptstr. 25";"02206";"6020";"02206";"602193";"05378024";"1";
"13092";"Stadt Rösrath";"";"";"Stadt Rösrath";"51503";"Rösrath";"Hauptstr. 229";"02205";"8020";"02205";"80288127";"05378028";"1";
"13109";"Gemeinde Engelskirchen";"";"";"Gemeinde Engelskirchen";"51766";"Engelskirchen";"Engels-Platz 4";"02263";"830";"02263";"1610";"05374008";"1";
"13134";"Gemeinde Kürten";"";"";"Gemeinde Kürten";"51515";"Kürten";"Karlheinz-Stockhausen-Platz 1";"02268";"9390";"02268";"939140";"05378012";"1";
"13160";"Gemeinde Alfter";"";"";"Gemeinde Alfter";"53347";"Alfter";"Am Rathaus 7";"02221";"64840";"02221";"6484199";"05382004";"1";
"13171";"Stadt Sankt Augustin";"";"";"Stadt Sankt Augustin";"53757";"Sankt Augustin";"Markt 1";"02241";"2430";"02241";"243430";"05382056";"1";
"13183";"Stadt Bornheim";"";"";"Stadt Bornheim";"53332";"Bornheim";"Rathausstr. 2";"02222";"9450";"02222";"945126";"05382012";"1";
"13195";"Gemeinde Eitorf";"";"";"Gemeinde Eitorf";"53783";"Eitorf";"Markt 1";"02243";"3041";"";"";"05382016";"1";
"13201";"Stadt Hennef";"";"";"Stadt Hennef";"53773";"Hennef (Sieg)";"Frankfurter Str. 97";"02242";"8880";"02242";"888880447";"05382020";"1";
"13213";"Stadt Bad Honnef";"";"";"Stadt Bad Honnef";"53604";"Bad Honnef";"Rathausplatz 1";"02224";"1840";"02224";"184115";"05382008";"1";
"13225";"Stadt Königswinter";"";"";"Stadt Königswinter";"53639";"Königswinter";"Drachenfelsstr. 9-11";"02244";"8890";"02244";"889378";"05382024";"1";
"13237";"Stadt Lohmar";"";"";"Stadt Lohmar";"53797";"Lohmar";"Rathausstr. 4";"02246";"150";"02246";"15900";"05382028";"1";
"13249";"Stadt Meckenheim";"";"";"Stadt Meckenheim";"53340";"Meckenheim";"Siebengebirgsring 4";"02225";"9170";"02225";"917100";"05382032";"1";
"13250";"Gemeinde Much";"";"";"Gemeinde Much";"53804";"Much";"Hauptstr. 57";"02245";"6841";"02245";"6850";"05382036";"1";
"13262";"Gemeinde Neunkirchen-Seelscheid";"";"";"Gemeinde Neunkirchen-Seelscheid";"53819";"Neunkirchen-Seelscheid";"Hauptstr. 78";"02247";"3030";"02247";"303114";"05382040";"1";
"13274";"Stadt Niederkassel";"";"";"Stadt Niederkassel";"53859";"Niederkassel";"Rathausstr. 19";"02208";"4051";"";"";"05382044";"1";
"13286";"Stadt Rheinbach";"";"";"Stadt Rheinbach";"53359";"Rheinbach";"Schweigelstr. 23";"02226";"9170";"02226";"917215";"05382048";"1";
"13298";"Gemeinde Ruppichteroth";"";"";"Gemeinde Ruppichteroth";"53809";"Ruppichteroth";"Rathausstr. 18";"02295";"5011";"";"";"05382052";"1";
"13304";"Stadt Siegburg";"";"";"Stadt Siegburg";"53721";"Siegburg";"Nogenter Platz 10";"02241";"1021";"02241";"102284";"05382060";"1";
"13316";"Gemeinde Swisttal";"";"";"Gemeinde Swisttal";"53913";"Swisttal";"Rathausstr. 115";"02255";"531";"";"";"05382064";"1";
"13328";"Stadt Troisdorf";"";"";"Stadt Troisdorf";"53840";"Troisdorf";"Kölner Str. 176";"02241";"9000";"02241";"900800";"05382068";"1";
"13330";"Gemeinde Wachtberg";"";"";"Gemeinde Wachtberg";"53343";"Wachtberg";"Rathausstr. 34";"02221";"343011";"";"";"05382072";"1";
"13341";"Gemeinde Windeck";"";"";"Gemeinde Windeck";"51570";"Windeck";"Rathausstr. 12";"02292";"6010";"02292";"601300";"05382076";"1";
"13353";"Stadt Alsdorf";"";"";"Stadt Alsdorf";"52477";"Alsdorf";"Hubertusstr. 17";"02404";"500";"02404";"22640";"05334004";"1";
"13365";"Stadt Baesweiler";"";"";"Stadt Baesweiler";"52499";"Baesweiler";"Aachener Str. 280";"02401";"2901";"";"";"05334008";"1";
"13377";"Stadt Eschweiler";"";"";"Stadt Eschweiler";"52249";"Eschweiler";"Johannes-Rau-Platz 1";"02403";"710";"02403";"71618";"05334012";"1";
"13389";"Stadt Herzogenrath";"";"";"Stadt Herzogenrath";"52134";"Herzogenrath";"Rathausplatz 1";"02406";"830";"02406";"12954";"05334016";"1";
"13390";"Stadt Monschau";"";"";"Stadt Monschau";"52156";"Monschau";"Laufenstr. 84";"02472";"810";"02472";"81220";"05334020";"1";
"13407";"Gemeinde Roetgen";"";"";"Gemeinde Roetgen";"52159";"Roetgen";"Hauptstr. 55";"02471";"4021";"";"";"05334024";"1";
"13419";"Gemeinde Simmerath";"";"";"Gemeinde Simmerath";"52152";"Simmerath";"Rathausplatz 0";"02473";"6070";"02473";"607100";"05334028";"1";
"13420";"Stadt Stolberg";"";"";"Stadt Stolberg";"52222";"Stolberg (Rhld.)";"Rathausstr. 11-13";"02402";"130";"02402";"13333";"05334032";"1";
"13432";"Stadt Würselen";"FD. 3.3 Schulamt";"";"Stadt Würselen";"52146";"Würselen";"Morlaixplatz 1";"02405";"670";"02405";"49939400";"05334036";"1";
"13444";"Gemeinde Aldenhoven";"";"";"Gemeinde Aldenhoven";"52457";"Aldenhoven";"Dietrich-Mülfahrt-Str. 11-13";"02464";"1095";"";"";"05358004";"1";
"13456";"Stadt Düren";"";"";"Stadt Düren";"52349";"Düren";"Kaiserplatz 2-4";"02421";"250";"02421";"251802500";"05358008";"1";
"13468";"Gemeinde Hürtgenwald";"";"";"Gemeinde Hürtgenwald";"52393";"Hürtgenwald";"August-Scholl-Str. 5";"02429";"1071";"";"";"05358016";"1";
"13470";"Stadt Jülich";"";"";"Stadt Jülich";"52428";"Jülich";"Große Rurstr. 17";"02461";"630";"02461";"63362";"05358024";"1";
"13481";"Gemeinde Kreuzau";"";"";"Gemeinde Kreuzau";"52372";"Kreuzau";"Bahnhofstr. 7";"02422";"5070";"02422";"507498";"05358028";"1";
"13493";"Gemeinde Langerwehe";"";"";"Gemeinde Langerwehe";"52379";"Langerwehe";"Schönthaler Str. 4";"02423";"4090";"02423";"409201";"05358032";"1";
"13500";"Stadt Linnich";"";"";"Stadt Linnich";"52441";"Linnich";"Rurdorfer Str. 64";"02462";"99080";"02462";"9908900";"05358036";"1";
"13511";"Gemeinde Merzenich";"";"";"Gemeinde Merzenich";"52399";"Merzenich";"Valdersweg 1";"02421";"33015";"";"";"05358040";"1";
"13523";"Gemeinde Niederzier";"";"";"Gemeinde Niederzier";"52382";"Niederzier";"Rathausstr. 8";"02428";"840";"02428";"84150";"05358048";"1";
"13535";"Stadt Nideggen";"";"";"Stadt Nideggen";"52385";"Nideggen";"Zülpicher Str. 1";"02427";"8090";"02427";"80947";"05358044";"1";
"13547";"Gemeinde Nörvenich";"";"";"Gemeinde Nörvenich";"52388";"Nörvenich";"Bahnhofstr. 25";"02426";"1010";"02426";"101700";"05358052";"1";
"13559";"Gemeinde Titz";"";"";"Gemeinde Titz";"52445";"Titz";"Landstr. 4";"02463";"6590";"02463";"65999";"05358056";"1";
"13560";"Gemeinde Vettweiß";"";"";"Gemeinde Vettweiß";"52391";"Vettweiß";"Gereonstr. 14";"02424";"7163";"";"";"05358060";"1";
"13572";"Stadt Erkelenz";"";"";"Stadt Erkelenz";"41812";"Erkelenz";"Johannismarkt 17";"02431";"85119";"02431";"70558";"05370004";"1";
"13584";"Gemeinde Gangelt";"";"";"Gemeinde Gangelt";"52538";"Gangelt";"Burgstr. 10";"02454";"5880";"02454";"2852";"05370008";"1";
"13596";"Stadt Geilenkirchen";"";"";"Stadt Geilenkirchen";"52511";"Geilenkirchen";"Markt 9";"02451";"6290";"02451";"629200";"05370012";"1";
"13602";"Stadt Heinsberg";"";"";"Stadt Heinsberg";"52525";"Heinsberg";"Apfelstr. 60";"02452";"140";"02452";"141095";"05370016";"1";
"13614";"Stadt Hückelhoven";"";"";"Stadt Hückelhoven";"41836";"Hückelhoven";"Parkhofstr. 76";"02433";"4045";"";"";"05370020";"1";
"13626";"Gemeinde Niederkrüchten";"";"";"Gemeinde Niederkrüchten";"41372";"Niederkrüchten";"Laurentiusstr. 19";"02163";"9800";"02163";"980111";"05166020";"1";
"13638";"Gemeinde Selfkant";"";"";"Gemeinde Selfkant";"52538";"Selfkant";"Am Rathaus 13";"02456";"955";"";"";"05370024";"1";
"13640";"Stadt Übach-Palenberg";"";"";"Stadt Übach-Palenberg";"52531";"Übach-Palenberg";"Rathausplatz 4";"02451";"4011";"";"";"05370028";"1";
"13651";"Gemeinde Waldfeucht";"";"";"Gemeinde Waldfeucht";"52525";"Waldfeucht";"Lambertusstr. 13";"02455";"423";"";"";"05370032";"1";
"13663";"Stadt Wegberg";"";"";"Stadt Wegberg";"41844";"Wegberg";"Rathausplatz 25";"02434";"830";"02434";"83888";"05370040";"1";
"13675";"Stadt Ahaus";"";"";"Stadt Ahaus";"48683";"Ahaus";"Hindenburgallee 1";"02561";"721";"02561";"72100";"05554004";"1";
"13687";"Stadt Gronau";"";"";"Stadt Gronau";"48599";"Gronau (Westf.)";"Konrad-Adenauer-Str. 1";"02562";"120";"02562";"127200";"05554020";"1";
"13699";"Stadt Stadtlohn";"";"";"Stadt Stadtlohn";"48703";"Stadtlohn";"Markt 3";"02563";"3055";"";"";"05554056";"1";
"13705";"Stadt Vreden";"";"";"Stadt Vreden";"48691";"Vreden";"Burgstr. 14";"02564";"3030";"02564";"303105";"05554068";"1";
"13729";"Gemeinde Heek";"";"";"Gemeinde Heek";"48619";"Heek";"Bahnhofstr. 60";"02568";"844";"";"";"05554024";"1";
"13730";"Gemeinde Legden";"";"";"Gemeinde Legden";"48739";"Legden";"Amtshausstr. 1";"02566";"9100";"02566";"910222";"05554036";"1";
"13742";"Gemeinde Südlohn";"";"";"Gemeinde Südlohn";"46354";"Südlohn";"Winterswyker Str. 1";"02862";"5820";"02862";"58258";"05554060";"1";
"13754";"Gemeinde Schöppingen";"";"";"Gemeinde Schöppingen";"48624";"Schöppingen";"Amtsstr. 17";"02555";"880";"02555";"8811";"05554052";"1";
"13791";"Stadt Ahlen";"";"";"Stadt Ahlen";"59227";"Ahlen";"Westenmauer 10";"02382";"590";"02382";"59465";"05570004";"1";
"13808";"Stadt Beckum";"";"";"Stadt Beckum";"59269";"Beckum";"Markt 1";"02521";"291";"02521";"2955199";"05570008";"1";
"13810";"Stadt Ennigerloh";"";"";"Stadt Ennigerloh";"59320";"Ennigerloh";"Marktplatz 1";"02524";"280";"02524";"285000";"05570020";"1";
"13845";"Stadt Oelde";"";"";"Stadt Oelde";"59302";"Oelde";"Bahnhofstr. 17";"02522";"720";"02522";"72460";"05570028";"1";
"13870";"Stadt Sendenhorst";"";"";"Stadt Sendenhorst";"48324";"Sendenhorst";"Kirchstr. 1";"02526";"3030";"02526";"303100";"05570040";"1";
"13900";"Stadt Borken";"";"";"Stadt Borken";"46325";"Borken";"Im Piepershagen 17";"02861";"9390";"02861";"939253";"05554012";"1";
"13924";"Stadt Rhede";"";"";"Stadt Rhede";"46414";"Rhede";"Neustr. 10";"02872";"9300";"02872";"930450";"05554048";"1";
"13936";"Gemeinde Raesfeld";"";"";"Gemeinde Raesfeld";"46348";"Raesfeld";"Weseler Str. 19";"02865";"9550";"02865";"955199";"05554040";"1";
"13948";"Gemeinde Reken";"";"";"Gemeinde Reken";"48734";"Reken";"Kirchstr. 14";"02864";"301";"";"";"05554044";"1";
"13950";"Gemeinde Heiden";"";"";"Gemeinde Heiden";"46359";"Heiden";"Rathausplatz 1";"02867";"977315";"02867";"9779315";"05554028";"1";
"13985";"Stadt Velen";"";"";"Stadt Velen";"46342";"Velen";"Ramsdorfer Str. 19";"02863";"341";"";"";"05554064";"1";
"13997";"Stadt Coesfeld";"";"";"Stadt Coesfeld";"48653";"Coesfeld";"Markt 8";"02541";"9390";"02541";"9394000";"05558012";"1";
"14000";"Stadt Dülmen";"";"";"Stadt Dülmen";"48249";"Dülmen";"Münsterstr. 29";"02594";"120";"02594";"12199";"05558016";"1";
"14011";"Stadt Billerbeck";"";"";"Stadt Billerbeck";"48727";"Billerbeck";"Markt 1";"02543";"537";"";"";"05558008";"1";
"14023";"Stadt Gescher";"";"";"Stadt Gescher";"48712";"Gescher";"Lindenstr. 2";"02542";"851";"";"";"05554016";"1";
"14060";"Gemeinde Rosendahl";"";"";"Gemeinde Rosendahl";"48720";"Rosendahl";"Hauptstr. 30";"02547";"217";"";"";"05558040";"1";
"14102";"Stadt Werne";"";"";"Stadt Werne";"59368";"Werne";"Konrad-Adenauer-Platz 1";"02389";"711";"02389";"71323";"05978040";"1";
"14114";"Gemeinde Ascheberg";"";"";"Gemeinde Ascheberg";"59387";"Ascheberg";"Dieningstr. 7";"02593";"1051";"";"";"05558004";"1";
"14126";"Gemeinde Senden";"";"";"Gemeinde Senden";"48308";"Senden";"Münsterstr. 30";"02597";"6990";"02597";"699222";"05558044";"1";
"14138";"Stadt Drensteinfurt";"";"";"Stadt Drensteinfurt";"48317";"Drensteinfurt";"Landsbergplatz 7";"02508";"9950";"02508";"995636";"05570016";"1";
"14163";"Stadt Selm";"";"";"Stadt Selm";"59379";"Selm";"Adenauerplatz 2";"02592";"61001";"";"";"05978032";"1";
"14199";"Stadt Lüdinghausen";"";"";"Stadt Lüdinghausen";"59348";"Lüdinghausen";"Borg 2";"02591";"9260";"02591";"926300";"05558024";"1";
"14229";"Gemeinde Nordkirchen";"";"";"Gemeinde Nordkirchen";"59394";"Nordkirchen";"Bohlenstr. 2";"02596";"1072";"";"";"05558028";"1";
"14242";"Stadt Greven";"";"";"Stadt Greven";"48268";"Greven";"Rathausstr. 6";"02571";"9200";"02571";"920320";"05566012";"1";
"14254";"Gemeinde Havixbeck";"";"";"Gemeinde Havixbeck";"48329";"Havixbeck";"Pfarrstiege 5";"02507";"1091";"";"";"05558020";"1";
"14266";"Gemeinde Saerbeck";"";"";"Gemeinde Saerbeck";"48369";"Saerbeck";"Ferrieres-Str. 11";"02574";"890";"02574";"89291";"05566080";"1";
"14280";"Gemeinde Nottuln";"";"";"Gemeinde Nottuln";"48301";"Nottuln";"Stiftsplatz 7-8";"02502";"9420";"02502";"924224";"05558032";"1";
"14369";"Stadt Telgte";"";"";"Stadt Telgte";"48291";"Telgte";"Baßfeld 4-6";"02504";"130";"02504";"13228";"05570044";"1";
"14436";"Stadt Haltern am See";"";"";"Stadt Haltern am See";"45721";"Haltern am See";"Schmeddingstr. 2";"02364";"9330";"02364";"933111";"05562016";"1";
"14448";"Stadt Herten";"";"";"Stadt Herten";"45699";"Herten";"Kurt-Schumacher-Str. 2";"02366";"3030";"02366";"303255";"05562020";"1";
"14485";"Stadt Datteln";"";"";"Stadt Datteln";"45711";"Datteln";"Elisabethstr. 8";"02363";"4021";"";"";"05562008";"1";
"14503";"Stadt Oer-Erkenschwick";"";"";"Stadt Oer-Erkenschwick";"45739";"Oer-Erkenschwick";"Rathausplatz 1";"02368";"6910";"02368";"691298";"05562028";"1";
"14540";"Stadt Dorsten";"";"";"Stadt Dorsten";"46282";"Dorsten";"Im Werth 6";"02362";"660";"02362";"665712";"05562012";"1";
"14618";"Stadt Marl";"";"";"Stadt Marl";"45768";"Marl";"Creiler Platz 1";"02365";"1051";"";"";"05562024";"1";
"14655";"Stadt Waltrop";"";"";"Stadt Waltrop";"45731";"Waltrop";"Münsterstr. 1";"02309";"621";"";"";"05562036";"1";
"14679";"Stadt Steinfurt";"";"";"Stadt Steinfurt";"48565";"Steinfurt";"Emsdettener Str. 40";"02552";"560";"";"";"05566084";"1";
"14680";"Stadt Emsdetten";"";"";"Stadt Emsdetten";"48282";"Emsdetten";"Am Markt 1";"02572";"9220";"02572";"922199";"05566008";"1";
"14692";"Stadt Rheine";"";"";"Stadt Rheine";"48431";"Rheine";"Matthiasstr. 37";"05971";"9390";"05971";"939233";"05566076";"1";
"14709";"Gemeinde Altenberge";"";"";"Gemeinde Altenberge";"48341";"Altenberge";"Kirchstr. 25";"02505";"820";"02505";"8240";"05566004";"1";
"14710";"Gemeinde Metelen";"";"";"Gemeinde Metelen";"48629";"Metelen";"Sendplatz 18";"02556";"890";"02556";"8944";"05566052";"1";
"14722";"Gemeinde Neuenkirchen";"";"";"Gemeinde Neuenkirchen";"48485";"Neuenkirchen";"Hauptstr. 16";"05973";"9260";"05973";"92680";"05566060";"1";
"14734";"Gemeinde Nordwalde";"";"";"Gemeinde Nordwalde";"48356";"Nordwalde";"Bahnhofstr. 2";"02573";"9290";"02573";"98891";"05566064";"1";
"14746";"Gemeinde Wettringen";"";"";"Gemeinde Wettringen";"48493";"Wettringen";"Kirchstr. 19";"02557";"780";"02557";"7845";"05566096";"1";
"14758";"Stadt Horstmar";"";"";"Stadt Horstmar";"48612";"Horstmar";"Kirchplatz 1-3";"02558";"790";"02558";"7937";"05566024";"1";
"14760";"Gemeinde Laer";"";"";"Gemeinde Laer";"48366";"Laer";"Hohe Str. 10";"02554";"741";"";"";"05566036";"1";
"14771";"Stadt Ochtrup";"";"";"Stadt Ochtrup";"48607";"Ochtrup";"Professor-Gärtner-Str. 10";"02553";"3022";"";"";"05566068";"1";
"14825";"Stadt Lengerich";"";"";"Stadt Lengerich";"49525";"Lengerich";"Tecklenburger Str. 2-4";"05481";"330";"05481";"33199";"05566040";"1";
"14837";"Gemeinde Ladbergen";"";"";"Gemeinde Ladbergen";"49549";"Ladbergen";"Jahnstr. 5";"05485";"810";"05485";"8144";"05566032";"1";
"14849";"Gemeinde Lienen";"";"";"Gemeinde Lienen";"49536";"Lienen";"Hauptstr. 14";"05483";"73960";"05483";"739659";"05566044";"1";
"14850";"Gemeinde Mettingen";"";"";"Gemeinde Mettingen";"49497";"Mettingen";"Markt 6-8";"05452";"520";"05452";"5285";"05566056";"1";
"14862";"Gemeinde Recke";"";"";"Gemeinde Recke";"49509";"Recke";"Ibbenbürener Str. 7";"05453";"3081";"";"";"05566072";"1";
"14874";"Gemeinde Westerkappeln";"";"";"Gemeinde Westerkappeln";"49492";"Westerkappeln";"Große Str. 13";"05404";"8870";"05404";"88777";"05566092";"1";
"14898";"Gemeinde Hopsten";"";"";"Gemeinde Hopsten";"48496";"Hopsten";"Bunte Str. 35";"05458";"831";"";"";"05566020";"1";
"14928";"Stadt Ibbenbüren";"";"";"Stadt Ibbenbüren";"49477";"Ibbenbüren";"Alte Münsterstr. 16";"05451";"9310";"05451";"931198";"05566028";"1";
"14930";"Gemeinde Lotte";"";"";"Gemeinde Lotte";"49504";"Lotte";"Bahnhofstr. 36";"05404";"2021";"";"";"05566048";"1";
"14977";"Stadt Hörstel";"";"";"Stadt Hörstel";"48477";"Hörstel";"Kalixtusstr. 6";"05454";"9110";"05454";"911102";"05566016";"1";
"15027";"Stadt Tecklenburg";"";"";"Stadt Tecklenburg";"49545";"Tecklenburg";"Landrat-Schultz-Str. 1";"05482";"730";"05482";"703991";"05566088";"1";
"15039";"Stadt Warendorf";"";"";"Stadt Warendorf";"48231";"Warendorf";"Lange Kesselstr. 4-6";"02581";"540";"02581";"542900";"05570052";"1";
"15040";"Gemeinde Everswinkel";"";"";"Gemeinde Everswinkel";"48351";"Everswinkel";"Am Magnusplatz 30";"02582";"880";"02582";"88511";"05570024";"1";
"15052";"Stadt Sassenberg";"";"";"Stadt Sassenberg";"48336";"Sassenberg";"Schürenstr. 17";"02583";"3090";"02583";"3098800";"05570036";"1";
"15076";"Gemeinde Beelen";"";"";"Gemeinde Beelen";"48361";"Beelen";"Warendorfer Str. 9";"02586";"1031";"";"";"05570012";"1";
