sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"10041";"Vivimos ganzheitliche Lebensräume";"Gemeinnützige UG (hb)";"";"Köln, Vivimos ganzheitl. Lebensräume";"51061";"Köln";"Schlebuscher Weg 41";"";"";"";"";"05315000";"2";
"10042";"Stadt Düsseldorf";"";"";"Stadt Düsseldorf";"40213";"Düsseldorf";"Marktplatz 6";"0211";"8991";"0211";"8929222";"05111000";"1";
"10043";"Bildungs-Alternative Oberberg e.V.";"";"";"Bildungs-Alternative Oberberg e.V.";"51588";"Nümbrecht";"Am Jungholz 5";"";"";"";"";"05374032";"2";
"10044";"GenoAkademie GmbH & Co. KG";"";"";"Rösrath, GenoAkademie GmbH & Co.KG";"51503";"Rösrath";"Raiffeisenstr. 10-16";"02205";"8039500";"02205";"203429500";"05378028";"2";
"10046";"FRÖBEL-Akademie gGmbH";"";"";"Berlin, FRÖBEL-Akademie gGmbH";"10178";"Berlin";"Alexanderstr. 9";"030";"21235280";"";"";"05999999";"2";
"10047";"Sankt Kaspar Schulstiftung";"";"";"Bad Driburg, Sankt Kaspar Schulstiftung";"33014";"Bad Driburg";"Johannwarthstr. 7";"05259";"9325345";"";"";"05762004";"2";
"10048";"Bildungscampus Siebenbrücken gGmbH";"";"";"Köln, Bildungscampus Siebenbrücken gGmbH";"50859";"Köln";"Ottostr. 1";"02234";"93748710";"";"";"05315000";"2";
"10052";"Ignatianischer Schulträger";"Alosiuskolleg Bonn gGmbH";"";"Bonn, Ignatianischer Schulträger gGmbh";"53177";"Bonn";"Elisabethstr. 18";"0228";"82003101";"0228";"82003102";"05314000";"2";
"10053";"Glaubensanker e.V.";"";"";"Kierspe, Glaubensanker e.V.";"58566";"Kierspe";"Thingslindestr. 119";"";"";"";"";"05962028";"2";
"10054";"Stadt Duisburg";"";"";"Stadt Duisburg";"47051";"Duisburg";"Burgplatz 19";"0203";"2832934";"";"";"05112000";"1";
"10058";"Katholische Jugendhilfe Dortmund gGmbH";"(KJDgGmbH)";"";"Dortmund, Kath.Jugendhilfe Dortmund";"44145";"Dortmund";"Oesterholzstr. 85-91";"0231";"98320";"0231";"9832200";"05913000";"2";
"10060";"Energiebündel Schule gGmbH";"";"";"Schloß Holte-Stukenbrock, Energiebündel";"33758";"Schloß Holte-Stukenbrock";"Brinkeweg 7 - 11";"";"";"";"";"05754036";"2";
"10061";"Freie Aktivschule gUG";"c/o Justine Kleier";"";"Neuss, Freie Aktivschule gUG";"41468";"Neuss";"Ginsterweg 1";"";"";"";"";"05162024";"2";
"10062";"Kaleidoskop-Schule Mülheim";"gemeinnützige UG";"c/o PIA--stiftung";"Mülheim an der Ruhr, Kaleidoskop UG";"45473";"Mülheim an der Ruhr";"Wiesenstr. 35";"";"";"";"";"05117000";"2";
"10066";"Stadt Essen";"- Schulverwaltungsamt -";"";"Stadt Essen";"45127";"Essen";"Gildehofstr. 1a";"0201";"8840950";"0201";"8840970";"05113000";"1";
"10078";"Stadt Krefeld";"";"";"Stadt Krefeld";"47798";"Krefeld";"Von-der-Leyen-Platz 1";"02151";"861";"02151";"861111";"05114000";"1";
"10080";"Stadt Leverkusen";"";"";"Stadt Leverkusen";"51379";"Leverkusen";"Haus-Vorster Str. 8";"0214";"4060";"0214";"4061172";"05316000";"1";
"10091";"Stadt Mönchengladbach";"";"";"Stadt Mönchengladbach";"41061";"Mönchengladbach";"Rathausplatz 1";"02161";"250";"02161";"252579";"05116000";"1";
"10100";"Ökumenisches";"Studienwerk e.V.";"";"Bochum, Ökumenisches Studienwerk";"44799";"Bochum";"Girondelle 80";"0234";"9388231";"0234";"9388260";"05911000";"2";
"10108";"Stadt Mülheim an der Ruhr";"";"";"Stadt Mülheim an der Ruhr";"45468";"Mülheim an der Ruhr";"Ruhrstr. 32-34";"0208";"4550";"0208";"4559999";"05117000";"1";
"10110";"Stadt Neuss";"";"";"Stadt Neuss";"41460";"Neuss";"Rheinstr. 18";"02131";"904001";"02131";"904010";"05162024";"1";
"10121";"Stadt Oberhausen";"";"";"Stadt Oberhausen";"46045";"Oberhausen";"Schwartzstr. 72";"0208";"8251";"0208";"8252755";"05119000";"1";
"10133";"Stadt Remscheid";"Amt für Schule und Bildung";"";"Stadt Remscheid";"42853";"Remscheid";"Schützenstr. 57";"02191";"162543";"";"";"05120000";"1";
"10157";"Stadt Solingen";"";"";"Stadt Solingen";"42651";"Solingen";"Cronenberger Str. 59";"0212";"2900";"0212";"2906392";"05122000";"1";
"10169";"Stadt Wuppertal";"";"";"Stadt Wuppertal";"42275";"Wuppertal";"Johannes-Rau-Platz 1";"0202";"5631";"0202";"5638199";"05124000";"1";
"10170";"Stadt Bonn";"";"";"Stadt Bonn";"53111";"Bonn";"Berliner Platz 2";"0228";"770";"0228";"774646";"05314000";"1";
"10182";"Stadt Köln";"";"";"Stadt Köln";"50679";"Köln";"Willy-Brandt-Platz 3";"0221";"2210";"0221";"22122211";"05315000";"1";
"10194";"Stadt Aachen";"";"";"Stadt Aachen";"52064";"Aachen";"Mozartstr. 2 - 10";"0241";"4320";"0241";"4324099";"05334002";"1";
"10200";"Stadt Bocholt";"";"";"Stadt Bocholt";"46395";"Bocholt";"Berliner Platz 1";"02871";"9530";"02871";"953222";"05554008";"1";
"10212";"Stadt Bottrop";"";"";"Stadt Bottrop";"46236";"Bottrop";"Osterfelder Str. 27";"02041";"703219";"02041";"703879";"05512000";"1";
"10224";"Stadt Gelsenkirchen";"Schulverwaltungsamt";"";"Stadt Gelsenkirchen";"45879";"Gelsenkirchen";"Ahstr. 22";"0209";"1693516";"0209";"1693516";"05513000";"1";
"10236";"Stadt Gladbeck";"";"";"Stadt Gladbeck";"45964";"Gladbeck";"Hochstr. 2";"02043";"2751";"";"";"05562014";"1";
"10248";"Stadt Münster";"";"";"Stadt Münster";"48143";"Münster";"Klemensstr. 10";"0251";"4924024";"0251";"4927723";"05515000";"1";
"10250";"Stadt Recklinghausen";"- Schulverwaltung -";"";"Stadt Recklinghausen";"45657";"Recklinghausen";"Rathausplatz 3";"02361";"533037";"02361";"533221";"05562032";"1";
"10261";"Stadt Bielefeld";"";"";"Stadt Bielefeld";"33602";"Bielefeld";"Niederwall 25";"0521";"511";"0521";"516599";"05711000";"1";
"10273";"Stadt Bochum";"";"";"Stadt Bochum";"44787";"Bochum";"Willy-Brandt-Platz 2-6";"0234";"9103863";"0234";"9103643";"05911000";"1";
"10285";"Stadt Castrop-Rauxel";"";"";"Stadt Castrop-Rauxel";"44575";"Castrop-Rauxel";"Europaplatz 1";"02305";"1061";"02305";"1062244";"05562004";"1";
"10297";"Stadt Dortmund";"";"";"Stadt Dortmund";"44137";"Dortmund";"Südwall 2";"0231";"500";"";"";"05913000";"1";
"10303";"Stadt Hagen";"";"";"Stadt Hagen";"58095";"Hagen";"Rathausstr. 11";"02331";"2071";"02331";"2072400";"05914000";"1";
"10315";"Stadt Hamm";"";"";"Stadt Hamm";"59065";"Hamm";"Theodor-Heuss-Platz 16";"02381";"170";"02381";"172971";"05915000";"1";
